"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue"
"hsa03440","Homologous recombination","10/19","41/9562",5.75414207493705e-20,1.43853551873426e-18,9.08548748674271e-19
"hsa03450","Non-homologous end-joining","7/19","13/9562",5.93638665024162e-17,7.42048331280203e-16,4.68662103966444e-16
"hsa03460","Fanconi anemia pathway","4/19","55/9562",3.56162057297407e-06,2.96801714414506e-05,1.87453714367056e-05
"hsa03410","Base excision repair","3/19","44/9562",8.36791894529623e-05,0.000522994934081015,0.000330312589945904
"hsa04218","Cellular senescence","4/19","157/9562",0.000223690848730525,0.00111845424365262,0.000706392153885868
"hsa03430","Mismatch repair","2/19","23/9562",0.00092317460116035,0.00384656083816813,0.00242940684515882
"hsa01524","Platinum drug resistance","2/19","75/9562",0.00952198877982567,0.0313014328545701,0.0197693260134127
"hsa05212","Pancreatic cancer","2/19","77/9562",0.0100164585134624,0.0313014328545701,0.0197693260134127
"hsa05224","Breast cancer","2/19","148/9562",0.0342540619768835,0.0951501721580097,0.0600948455734798
"hsa04110","Cell cycle","2/19","158/9562",0.0386008630377567,0.0965021575943917,0.0609487311122474
"hsa03030","DNA replication","1/19","36/9562",0.0692232435289314,0.157325553474844,0.0993635074577962
"hsa03420","Nucleotide excision repair","1/19","63/9562",0.11813472692276,0.246114014422416,0.155440430161526
"hsa05206","MicroRNAs in cancer","2/19","320/9562",0.131552307486553,0.248361436137219,0.156859854402454
"hsa04115","p53 signaling pathway","1/19","75/9562",0.139082404236843,0.248361436137219,0.156859854402454
"hsa04064","NF-kappa B signaling pathway","1/19","105/9562",0.189408584593449,0.315680974322415,0.199377457466788
"hsa04068","FoxO signaling pathway","1/19","133/9562",0.233854354893247,0.343948826501162,0.217230837790208
"hsa04210","Apoptosis","1/19","137/9562",0.240012008743759,0.343948826501162,0.217230837790208
"hsa04120","Ubiquitin mediated proteolysis","1/19","142/9562",0.247643155080837,0.343948826501162,0.217230837790208
"hsa04621","NOD-like receptor signaling pathway","1/19","189/9562",0.315913747294252,0.412380828652658,0.260451049675363
"hsa05202","Transcriptional misregulation in cancer","1/19","201/9562",0.33237955359154,0.412380828652658,0.260451049675363
"hsa05170","Human immunodeficiency virus 1 infection","1/19","214/9562",0.349793521177155,0.412380828652658,0.260451049675363
"hsa05166","Human T-cell leukemia virus 1 infection","1/19","224/9562",0.362895129214339,0.412380828652658,0.260451049675363
"hsa05131","Shigellosis","1/19","253/9562",0.399490101402061,0.434228371089197,0.274249497530019
"hsa05165","Human papillomavirus infection","1/19","333/9562",0.490397414080146,0.510830639666819,0.322629877684307
"hsa04151","PI3K-Akt signaling pathway","1/19","362/9562",0.520005048178582,0.520005048178582,0.328424240954894
