"from_gene","to_gene","combined_score"
"ATM","BRCA1",999
"ATM","BRCA2",995
"ATM","EXO1",963
"ATM","LIG3",652
"ATM","LIG4",987
"ATM","MRE11",999
"ATM","NBN",999
"ATM","NHEJ1",982
"ATM","PALB2",945
"ATM","POLD3",571
"ATM","POLQ",507
"ATM","PRKDC",971
"ATM","RAD50",990
"ATM","RAD51",995
"ATM","RBBP8",973
"ATM","TP53BP1",999
"ATM","XRCC1",835
"ATM","XRCC4",980
"ATM","XRCC6",997
"BRCA1","BRCA2",999
"BRCA1","EXO1",981
"BRCA1","LIG3",603
"BRCA1","LIG4",878
"BRCA1","MRE11",999
"BRCA1","NBN",993
"BRCA1","NHEJ1",799
"BRCA1","PALB2",999
"BRCA1","POLD3",723
"BRCA1","POLQ",751
"BRCA1","PRKDC",955
"BRCA1","RAD50",999
"BRCA1","RAD51",999
"BRCA1","RBBP8",999
"BRCA1","TP53BP1",999
"BRCA1","XRCC1",817
"BRCA1","XRCC4",866
"BRCA1","XRCC6",953
"BRCA2","EXO1",951
"BRCA2","LIG3",583
"BRCA2","LIG4",887
"BRCA2","MRE11",967
"BRCA2","NBN",901
"BRCA2","NHEJ1",803
"BRCA2","PALB2",999
"BRCA2","POLD3",667
"BRCA2","POLQ",804
"BRCA2","PRKDC",887
"BRCA2","RAD50",759
"BRCA2","RAD51",999
"BRCA2","RBBP8",983
"BRCA2","TP53BP1",922
"BRCA2","XRCC1",827
"BRCA2","XRCC4",845
"BRCA2","XRCC6",883
"EXO1","LIG3",789
"EXO1","LIG4",790
"EXO1","MRE11",985
"EXO1","NBN",868
"EXO1","NHEJ1",680
"EXO1","PALB2",848
"EXO1","POLD3",759
"EXO1","POLQ",805
"EXO1","PRKDC",777
"EXO1","RAD50",850
"EXO1","RAD51",997
"EXO1","RBBP8",995
"EXO1","TP53BP1",904
"EXO1","XRCC1",742
"EXO1","XRCC4",729
"EXO1","XRCC6",951
"LIG3","LIG4",446
"LIG3","MRE11",831
"LIG3","NBN",793
"LIG3","NHEJ1",608
"LIG3","POLD3",520
"LIG3","POLQ",787
"LIG3","PRKDC",814
"LIG3","RAD50",809
"LIG3","RAD51",620
"LIG3","RBBP8",804
"LIG3","TP53BP1",700
"LIG3","XRCC1",999
"LIG3","XRCC4",944
"LIG3","XRCC6",994
"LIG4","MRE11",704
"LIG4","NBN",821
"LIG4","NHEJ1",999
"LIG4","PALB2",800
"LIG4","POLQ",696
"LIG4","PRKDC",999
"LIG4","RAD50",536
"LIG4","RAD51",794
"LIG4","RBBP8",777
"LIG4","TP53BP1",934
"LIG4","XRCC1",928
"LIG4","XRCC4",999
"LIG4","XRCC6",999
"MRE11","NBN",999
"MRE11","PALB2",870
"MRE11","POLD3",571
"MRE11","POLQ",774
"MRE11","PRKDC",854
"MRE11","RAD50",999
"MRE11","RAD51",984
"MRE11","RBBP8",997
"MRE11","TP53BP1",938
"MRE11","XRCC1",902
"MRE11","XRCC4",533
"MRE11","XRCC6",987
"NBN","NHEJ1",677
"NBN","PALB2",801
"NBN","POLD3",511
"NBN","POLQ",613
"NBN","PRKDC",918
"NBN","RAD50",999
"NBN","RAD51",925
"NBN","RBBP8",999
"NBN","TP53BP1",923
"NBN","XRCC1",749
"NBN","XRCC4",675
"NBN","XRCC6",899
"NHEJ1","PALB2",725
"NHEJ1","POLQ",488
"NHEJ1","PRKDC",999
"NHEJ1","RAD51",642
"NHEJ1","RBBP8",793
"NHEJ1","TP53BP1",872
"NHEJ1","XRCC1",758
"NHEJ1","XRCC4",999
"NHEJ1","XRCC6",999
"PALB2","POLD3",655
"PALB2","POLQ",515
"PALB2","PRKDC",794
"PALB2","RAD50",665
"PALB2","RAD51",999
"PALB2","RBBP8",953
"PALB2","TP53BP1",768
"PALB2","XRCC1",629
"PALB2","XRCC4",749
"PALB2","XRCC6",775
"POLD3","RAD50",537
"POLD3","RAD51",796
"POLD3","RBBP8",628
"POLD3","TP53BP1",431
"POLD3","XRCC1",607
"POLQ","PRKDC",504
"POLQ","RAD50",589
"POLQ","RAD51",822
"POLQ","RBBP8",821
"POLQ","TP53BP1",555
"POLQ","XRCC1",750
"POLQ","XRCC4",553
"POLQ","XRCC6",640
"PRKDC","RAD50",669
"PRKDC","RAD51",823
"PRKDC","RBBP8",760
"PRKDC","TP53BP1",895
"PRKDC","XRCC1",963
"PRKDC","XRCC4",999
"PRKDC","XRCC6",999
"RAD50","RAD51",858
"RAD50","RBBP8",999
"RAD50","TP53BP1",858
"RAD50","XRCC1",757
"RAD50","XRCC6",909
"RAD51","RBBP8",954
"RAD51","TP53BP1",940
"RAD51","XRCC1",837
"RAD51","XRCC4",748
"RAD51","XRCC6",930
"RBBP8","TP53BP1",916
"RBBP8","XRCC1",912
"RBBP8","XRCC4",729
"RBBP8","XRCC6",862
"TP53BP1","XRCC1",907
"TP53BP1","XRCC4",885
"TP53BP1","XRCC6",984
"XRCC1","XRCC4",940
"XRCC1","XRCC6",985
"XRCC4","XRCC6",999
