"Gene","Pathway","Pathway_color"
"ATM","DDR signaling","#66A61E"
"BRCA1","HR","#B2182B"
"BRCA2","HR","#B2182B"
"EXO1","Other repair","#999999"
"LIG3","Alt-EJ / MMEJ","#F4A582"
"LIG4","NHEJ","#2166AC"
"MRE11","DSB sensing (MRN)","#7570B3"
"NBN","DSB sensing (MRN)","#7570B3"
"NHEJ1","NHEJ","#2166AC"
"PALB2","HR","#B2182B"
"POLD3","Other repair","#999999"
"POLQ","Alt-EJ / MMEJ","#F4A582"
"PRKDC","NHEJ","#2166AC"
"RAD50","DSB sensing (MRN)","#7570B3"
"RAD51","HR","#B2182B"
"RBBP8","HR","#B2182B"
"TP53BP1","NHEJ","#2166AC"
"XRCC1","Other repair","#999999"
"XRCC4","NHEJ","#2166AC"
"XRCC6","NHEJ","#2166AC"
