Position,Partner_Gene,sgRNA_Combination,Direction,log2FoldChange,padj
Pos1 (NBN_CRISPRa),53BP1,NBN_CRISPRa_2_53BP1_CasRx_1,ENRICHED,18.4272,3.44e-04
Pos1 (NBN_CRISPRa),53BP1,NBN_CRISPRa_4_53BP1_CasRx_5,ENRICHED,18.3702,3.44e-04
Pos2 (NBN_CasRx),53BP1,53BP1_CRISPRa_4_NBN_CasRx_3,DEPLETED,-18.1230,3.44e-04
Pos2 (NBN_CasRx),BRCA1,BRCA1_CRISPRa_1_NBN_CasRx_5,ENRICHED,15.6695,1.97e-03
Pos2 (NBN_CasRx),CtIP,CtIP_CRISPRa_1_NBN_CasRx_1,ENRICHED,15.6339,2.46e-03
Pos2 (NBN_CasRx),CtIP,CtIP_CRISPRa_2_NBN_CasRx_2,ENRICHED,18.6454,3.44e-04
Pos1 (NBN_CRISPRa),DNA-PKcs,NBN_CRISPRa_3_DNA-PKcs_CasRx_1,DEPLETED,-16.2769,1.35e-03
Pos1 (NBN_CRISPRa),DNA-PKcs,NBN_CRISPRa_2_DNA-PKcs_CasRx_4,ENRICHED,19.4363,7.63e-05
Pos2 (NBN_CasRx),DNA-PKcs,DNA-PKcs_CRISPRa_3_NBN_CasRx_1,DEPLETED,-18.0344,3.44e-04
Pos2 (NBN_CasRx),DNA-PKcs,DNA-PKcs_CRISPRa_3_NBN_CasRx_2,ENRICHED,18.1926,3.44e-04
Pos1 (NBN_CRISPRa),KU70,NBN_CRISPRa_1_KU70_CasRx_1,ENRICHED,18.8585,2.71e-04
Pos2 (NBN_CasRx),LIG3,LIG3_CRISPRa_2_NBN_CasRx_2,DEPLETED,-16.3092,1.22e-03
Pos2 (NBN_CasRx),LIG3,LIG3_CRISPRa_3_NBN_CasRx_2,ENRICHED,15.5379,1.67e-03
Pos1 (NBN_CRISPRa),LIG4,NBN_CRISPRa_1_LIG4_CasRx_1,DEPLETED,-16.1738,1.26e-03
Pos2 (NBN_CasRx),LIG4,LIG4_CRISPRa_5_NBN_CasRx_2,DEPLETED,-17.9924,3.44e-04
Pos2 (NBN_CasRx),LIG4,LIG4_CRISPRa_5_NBN_CasRx_1,ENRICHED,15.2275,3.47e-03
Pos1 (NBN_CRISPRa),MRE11,NBN_CRISPRa_4_MRE11_CasRx_3,ENRICHED,18.1026,3.44e-04
Pos1 (NBN_CRISPRa),PALB2,NBN_CRISPRa_4_PALB2_CasRx_4,ENRICHED,17.2874,4.96e-04
Pos2 (NBN_CasRx),PALB2,PALB2_CRISPRa_1_NBN_CasRx_1,DEPLETED,-15.1210,4.00e-03
Pos2 (NBN_CasRx),PALB2,PALB2_CRISPRa_5_NBN_CasRx_1,ENRICHED,16.6644,1.00e-03
Pos1 (NBN_CRISPRa),POLD3,NBN_CRISPRa_4_POLD3_CasRx_2,DEPLETED,-15.9357,1.47e-03
Pos1 (NBN_CRISPRa),POLQ,NBN_CRISPRa_4_POLQ_CasRx_1,ENRICHED,19.0210,2.71e-04
Pos2 (NBN_CasRx),POLQ,POLQ_CRISPRa_2_NBN_CasRx_5,ENRICHED,18.3700,3.44e-04
Pos1 (NBN_CRISPRa),XLF,NBN_CRISPRa_1_XLF_CasRx_3,ENRICHED,16.3542,1.00e-03
Pos2 (NBN_CasRx),XRCC1,XRCC1_CRISPRa_3_NBN_CasRx_4,DEPLETED,-17.0731,5.44e-04
