"Gene_P1","n_total","n_enriched","n_depleted","enrichment_ratio","z_score","binom_p","binom_padj","fisher_p","fisher_padj","perm_max_z_obs","perm_max_z_gene","perm_p_value","perm_n_iter"
"NBN",11,8,3,0.727272727272727,1.74098084662853,0.0746483052690647,0.947470375692473,0.0694308685131305,0.952991902021364,1.74098084662853,"NBN",0.5531,10000
"RBBP8",8,5,3,0.625,0.904784379263952,0.290631032211539,0.947470375692473,0.287113024525584,0.952991902021364,1.74098084662853,"NBN",0.5531,10000
"MRE11",12,7,5,0.583333333333333,0.818762740464875,0.297582164206239,0.947470375692473,0.292397277729238,0.952991902021364,1.74098084662853,"NBN",0.5531,10000
"ATM",14,8,6,0.571428571428571,0.795064152005377,0.298320965920246,0.947470375692473,0.292251120897107,0.952991902021364,1.74098084662853,"NBN",0.5531,10000
"LIG3",13,7,6,0.538461538461538,0.527844332310431,0.399603964531324,0.947470375692473,0.396753255870107,0.952991902021364,1.74098084662853,"NBN",0.5531,10000
"PRKDC",15,8,7,0.533333333333333,0.527177617032298,0.392602835595074,0.947470375692473,0.389031423236634,0.952991902021364,1.74098084662853,"NBN",0.5531,10000
"NT",8,4,4,0.5,0.195982176013852,0.558879729321102,0.947470375692473,0.560285460745586,0.952991902021364,1.74098084662853,"NBN",0.5531,10000
"TP53BP1",10,5,5,0.5,0.219114733972651,0.535619242157693,0.947470375692473,0.536778756443695,0.952991902021364,1.74098084662853,"NBN",0.5531,10000
"XRCC1",10,5,5,0.5,0.219114733972651,0.535619242157693,0.947470375692473,0.536778756443695,0.952991902021364,1.74098084662853,"NBN",0.5531,10000
"BRCA1",19,9,10,0.473684210526316,0.0720630161143375,0.560359623792739,0.947470375692473,0.563597853556581,0.952991902021364,1.74098084662853,"NBN",0.5531,10000
"EXO1",9,4,5,0.444444444444444,-0.126262074482105,0.673596222831552,0.947470375692473,0.677396706129855,0.952991902021364,1.74098084662853,"NBN",0.5531,10000
"PALB2",16,7,9,0.4375,-0.22403819313593,0.68005062041493,0.947470375692473,0.686952723380053,0.952991902021364,1.74098084662853,"NBN",0.5531,10000
"NHEJ1",12,5,7,0.416666666666667,-0.338706410550616,0.732562476091241,0.947470375692473,0.738754473705831,0.952991902021364,1.74098084662853,"NBN",0.5531,10000
"POLQ",15,6,9,0.4,-0.508094264379545,0.777002554054132,0.947470375692473,0.785506887741078,0.952991902021364,1.74098084662853,"NBN",0.5531,10000
"RAD50",5,2,3,0.4,-0.293348360313235,0.766318200760058,0.947470375692473,0.769177060860634,0.952991902021364,1.74098084662853,"NBN",0.5531,10000
"RAD51",5,2,3,0.4,-0.293348360313235,0.766318200760058,0.947470375692473,0.769177060860634,0.952991902021364,1.74098084662853,"NBN",0.5531,10000
"LIG4",8,3,5,0.375,-0.512820027236247,0.805349819338602,0.947470375692473,0.81004311671816,0.952991902021364,1.74098084662853,"NBN",0.5531,10000
"BRCA2",11,3,8,0.272727272727273,-1.2813619031186,0.946757410681075,0.987526515616609,0.951145300270015,0.988563077634919,1.74098084662853,"NBN",0.5531,10000
"POLD3",5,1,4,0.2,-1.1899201094396,0.956349293539721,0.987526515616609,0.958100212020083,0.988563077634919,1.74098084662853,"NBN",0.5531,10000
"XRCC4",7,1,6,0.142857142857143,-1.71102903196928,0.987526515616609,0.987526515616609,0.988563077634919,0.988563077634919,1.74098084662853,"NBN",0.5531,10000
