"sgRNA","Gene_P1","Gene_P2","log2FoldChange","padj","direction","Pathway_group"
"NBN_CRISPRa_3_DNA-PKcs_CasRx_1","NBN","PRKDC",-16.2768693637946,0.00135244206393156,"depleted","NHEJ"
"NBN_CRISPRa_1_LIG4_CasRx_1","NBN","LIG4",-16.173788092657,0.0012603417174365,"depleted","NHEJ"
"NBN_CRISPRa_4_POLD3_CasRx_2","NBN","POLD3",-15.9357296004432,0.00146996102398874,"depleted","Other repair"
"NBN_CRISPRa_1_XLF_CasRx_3","NBN","NHEJ1",16.3542006776241,0.00100196130861118,"enriched","NHEJ"
"NBN_CRISPRa_4_PALB2_CasRx_4","NBN","PALB2",17.2873570182937,0.000496115723450893,"enriched","HR"
"NBN_CRISPRa_4_MRE11_CasRx_3","NBN","MRE11",18.1026258565043,0.000343827158781553,"enriched","DSB sensing (MRN)"
"NBN_CRISPRa_4_53BP1_CasRx_5","NBN","TP53BP1",18.3702494798135,0.000343827158781553,"enriched","NHEJ"
"NBN_CRISPRa_2_53BP1_CasRx_1","NBN","TP53BP1",18.4272057844657,0.000343827158781553,"enriched","NHEJ"
"NBN_CRISPRa_1_KU70_CasRx_1","NBN","XRCC6",18.8585096137816,0.000271150075421975,"enriched","NHEJ"
"NBN_CRISPRa_4_POLQ_CasRx_1","NBN","POLQ",19.0209783434196,0.000271150075421975,"enriched","Alt-EJ / MMEJ"
"NBN_CRISPRa_2_DNA-PKcs_CasRx_4","NBN","PRKDC",19.4363240081538,7.63372234781064e-05,"enriched","NHEJ"
