"","DDR1","DDR2","DDR3","DDR4"
"ATM_CRISPRa_1_CtIP_CasRx_1",31909.958787436,11533.237702664,0,0
"ATM_CRISPRa_3_CtIP_CasRx_1",45522.8025666082,68127.6137248399,0,0
"ATM_CRISPRa_4_CtIP_CasRx_1",2299.88684853595,0,0,70075.7722749117
"RAD51_CRISPRa_3_CtIP_CasRx_1",112587.619618236,23240.4472398724,0,0
"BRCA1_CRISPRa_5_CtIP_CasRx_1",7416.35809772824,117579.411840651,0,24155.2037840198
"BRCA2_CRISPRa_2_CtIP_CasRx_1",0,0,11329.9616158361,11682.2207072325
"POLQ_CRISPRa_1_CtIP_CasRx_1",38278.35324092,0,0,9486.37707121384
"POLQ_CRISPRa_4_CtIP_CasRx_1",32059.5291314709,35620.4289764029,39545.4267133192,0
"POLD3_CRISPRa_5_CtIP_CasRx_1",0,28901.2230869711,24777.869872222,0
"EXO1_CRISPRa_3_CtIP_CasRx_1",43869.758894223,0,33627.4281762724,0
"MRE11_CRISPRa_4_CtIP_CasRx_1",35914.3648163692,55242.748692254,0,0
"RAD50_CRISPRa_2_CtIP_CasRx_1",0,29378.1248991488,63156.7987069859,38156.1319066527
"PALB2_CRISPRa_4_CtIP_CasRx_1",39814.8485932781,29089.7939565822,0,0
"PALB2_CRISPRa_5_CtIP_CasRx_1",103.922252024217,0,0,54.503481079133
"NBN_CRISPRa_1_CtIP_CasRx_1",0,0,139200.591209061,2906.23646567716
"NBN_CRISPRa_5_CtIP_CasRx_1",37728.6336647919,67380.629763929,88486.0111213697,13586.1473937425
"DNA-PKcs_CRISPRa_3_CtIP_CasRx_1",36608.798556531,0,72571.7383679291,0
"DNA-PKcs_CRISPRa_4_CtIP_CasRx_1",0,37026.8026878248,42.7545721352307,0
"XLF_CRISPRa_5_CtIP_CasRx_1",13600.2177111693,45007.6085242674,0,0
"LIG4_CRISPRa_3_CtIP_CasRx_1",0,25631.0392320386,0,47628.652160643
"53BP1_CRISPRa_3_CtIP_CasRx_1",111874.73239407,84305.777751214,0,0
"53BP1_CRISPRa_4_CtIP_CasRx_1",0,49652.5348479775,415.421290448287,0
"NT_CRISPRa_1_CtIP_CasRx_1",85591.1437559454,0,3537.78131220476,160.739079792697
"NT_CRISPRa_5_CtIP_CasRx_1",0,23701.5334307279,45767.812278851,0
"ATM_CRISPRa_1_CtIP_CasRx_2",24198.344945639,0,2597.818853172,8800.92651255762
"BRCA1_CRISPRa_5_CtIP_CasRx_2",67600.9393237531,45652.3992397117,0,0
"EXO1_CRISPRa_4_CtIP_CasRx_2",40392.7340134128,0,51.0502353853501,8692.84333821426
"EXO1_CRISPRa_5_CtIP_CasRx_2",3640.19252884828,33760.2685916589,0,0
"NBN_CRISPRa_1_CtIP_CasRx_2",13536.1161351543,66577.6828352625,0,54871.1486294634
"KU70_CRISPRa_5_CtIP_CasRx_2",62251.3714345065,0,0,42526.5720589472
"DNA-PKcs_CRISPRa_5_CtIP_CasRx_2",19580.1177645628,27948.6360488714,0,0
"XRCC4_CRISPRa_1_CtIP_CasRx_2",73005.8676650126,65940.1916373515,0,0
"LIG4_CRISPRa_3_CtIP_CasRx_2",0,40871.2152553795,65637.8401467139,0
"LIG4_CRISPRa_5_CtIP_CasRx_2",36042.567968399,56410.671497587,0,0
"53BP1_CRISPRa_3_CtIP_CasRx_2",25463.8654539339,0,0,202.309531463222
"53BP1_CRISPRa_4_CtIP_CasRx_2",0,26931.5699392271,9289.86658424909,0
"NT_CRISPRa_5_CtIP_CasRx_2",27393.7113863836,0,0,107067.93153479
"ATM_CRISPRa_4_CtIP_CasRx_3",8369.14061395027,73371.1004862831,0,0
"POLQ_CRISPRa_5_CtIP_CasRx_3",19375.186968515,0,0,13905.7779776981
"EXO1_CRISPRa_3_CtIP_CasRx_3",0,28269.814820338,1857.59044008443,0
