"Gene","Observed","Library_total","Expected","Fold_enrichment","pvalue","Position","padj","Direction"
"ATM",6,177,4.92138063279003,1.21917007597896,0.369598167172269,"Position 1 (CRISPRa)",0.93911504458114,"Depleted (BFP-)"
"BRCA1",10,237,6.58964525407478,1.51753237305398,0.121060874866899,"Position 1 (CRISPRa)",0.93911504458114,"Depleted (BFP-)"
"BRCA2",8,199,5.53307766059444,1.44584993935193,0.187379685054439,"Position 1 (CRISPRa)",0.93911504458114,"Depleted (BFP-)"
"EXO1",5,185,5.143815915628,0.972041006523765,0.591496955297536,"Position 1 (CRISPRa)",0.93911504458114,"Depleted (BFP-)"
"LIG3",6,212,5.89453499520614,1.01789199739753,0.543052620701703,"Position 1 (CRISPRa)",0.93911504458114,"Depleted (BFP-)"
"LIG4",5,217,6.03355704697987,0.828698553948832,0.730357939323508,"Position 1 (CRISPRa)",0.93911504458114,"Depleted (BFP-)"
"MRE11",5,199,5.53307766059444,0.903656212094958,0.656715158642138,"Position 1 (CRISPRa)",0.93911504458114,"Depleted (BFP-)"
"NBN",3,209,5.8111217641419,0.516251443656162,0.9364786785242,"Position 1 (CRISPRa)",0.93911504458114,"Depleted (BFP-)"
"NHEJ1",7,241,6.70086289549377,1.04464157962513,0.509509549035719,"Position 1 (CRISPRa)",0.93911504458114,"Depleted (BFP-)"
"NT",4,210,5.83892617449664,0.685057471264368,0.844643357820565,"Position 1 (CRISPRa)",0.93911504458114,"Depleted (BFP-)"
"PALB2",9,229,6.36720997123682,1.41349194398434,0.184727080148521,"Position 1 (CRISPRa)",0.93911504458114,"Depleted (BFP-)"
"POLD3",4,169,4.69894534995206,0.851254845949806,0.699420493068429,"Position 1 (CRISPRa)",0.93911504458114,"Depleted (BFP-)"
"POLQ",9,214,5.95014381591563,1.51256848211408,0.139102777212655,"Position 1 (CRISPRa)",0.93911504458114,"Depleted (BFP-)"
"PRKDC",7,197,5.47746883988495,1.27796254157185,0.307084148916265,"Position 1 (CRISPRa)",0.93911504458114,"Depleted (BFP-)"
"RAD50",3,211,5.86673058485139,0.511358065043308,0.93911504458114,"Position 1 (CRISPRa)",0.93911504458114,"Depleted (BFP-)"
"RAD51",3,164,4.55992329817833,0.657905803195963,0.842446189686361,"Position 1 (CRISPRa)",0.93911504458114,"Depleted (BFP-)"
"RBBP8",3,206,5.72770853307766,0.523769668563776,0.932328383164327,"Position 1 (CRISPRa)",0.93911504458114,"Depleted (BFP-)"
"TP53BP1",5,201,5.58868648130393,0.89466460799451,0.665480613783376,"Position 1 (CRISPRa)",0.93911504458114,"Depleted (BFP-)"
"XRCC1",5,174,4.83796740172579,1.03349187475228,0.53594123127977,"Position 1 (CRISPRa)",0.93911504458114,"Depleted (BFP-)"
"XRCC4",6,168,4.67114093959732,1.28448275862069,0.324401138341485,"Position 1 (CRISPRa)",0.93911504458114,"Depleted (BFP-)"
"XRCC6",3,153,4.25407478427613,0.705206220419202,0.806228571285835,"Position 1 (CRISPRa)",0.93911504458114,"Depleted (BFP-)"
"ATM",5,167,4.64333652924257,1.07681189345447,0.498938923965936,"Position 2 (CasRx)",0.93911504458114,"Depleted (BFP-)"
"BRCA1",6,173,4.81016299137104,1.2473589794698,0.349435353434296,"Position 2 (CasRx)",0.93911504458114,"Depleted (BFP-)"
"BRCA2",4,187,5.19942473633749,0.769315876820948,0.772327248580454,"Position 2 (CasRx)",0.93911504458114,"Depleted (BFP-)"
"EXO1",7,231,6.42281879194631,1.08986415882968,0.464021926937398,"Position 2 (CasRx)",0.93911504458114,"Depleted (BFP-)"
"LIG3",6,209,5.8111217641419,1.03250288731232,0.528801699854723,"Position 2 (CasRx)",0.93911504458114,"Depleted (BFP-)"
"LIG4",5,206,5.72770853307766,0.872949447606294,0.686763987484268,"Position 2 (CasRx)",0.93911504458114,"Depleted (BFP-)"
"MRE11",5,191,5.31064237775647,0.941505686947102,0.620252648472631,"Position 2 (CasRx)",0.93911504458114,"Depleted (BFP-)"
"NBN",6,208,5.78331735378715,1.03746684350133,0.524013098371494,"Position 2 (CasRx)",0.93911504458114,"Depleted (BFP-)"
"NHEJ1",4,212,5.89453499520614,0.678594664931685,0.849919845858101,"Position 2 (CasRx)",0.93911504458114,"Depleted (BFP-)"
"NT",6,185,5.143815915628,1.16644920782852,0.410048185026577,"Position 2 (CasRx)",0.93911504458114,"Depleted (BFP-)"
"PALB2",6,210,5.83892617449664,1.02758620689655,0.533571495262006,"Position 2 (CasRx)",0.93911504458114,"Depleted (BFP-)"
"POLD3",7,203,5.64429530201342,1.24019024970273,0.334363640104775,"Position 2 (CasRx)",0.93911504458114,"Depleted (BFP-)"
"POLQ",3,186,5.17162032598274,0.580088987764182,0.897779514201753,"Position 2 (CasRx)",0.93911504458114,"Depleted (BFP-)"
"PRKDC",10,219,6.08916586768936,1.6422610612502,0.0816236022508813,"Position 2 (CasRx)",0.93911504458114,"Depleted (BFP-)"
"RAD50",3,175,4.86577181208054,0.616551724137931,0.872716905977603,"Position 2 (CasRx)",0.93911504458114,"Depleted (BFP-)"
"RAD51",7,201,5.58868648130393,1.25253045119231,0.325223506309329,"Position 2 (CasRx)",0.93911504458114,"Depleted (BFP-)"
"RBBP8",4,228,6.33940556088207,0.630973986690865,0.886962691638971,"Position 2 (CasRx)",0.93911504458114,"Depleted (BFP-)"
"TP53BP1",6,212,5.89453499520614,1.01789199739753,0.543052620701703,"Position 2 (CasRx)",0.93911504458114,"Depleted (BFP-)"
"XRCC1",6,189,5.25503355704698,1.14176245210728,0.430229300783008,"Position 2 (CasRx)",0.93911504458114,"Depleted (BFP-)"
"XRCC4",7,205,5.69990412272291,1.22809083263246,0.343543262982193,"Position 2 (CasRx)",0.93911504458114,"Depleted (BFP-)"
"XRCC6",3,175,4.86577181208054,0.616551724137931,0.872716905977603,"Position 2 (CasRx)",0.93911504458114,"Depleted (BFP-)"
