"Gene","Observed","Library_total","Expected","Fold_enrichment","pvalue","Position","padj","Direction"
"ATM",8,177,4.28499520613615,1.86697991833082,0.0633098591732595,"Position 1 (CRISPRa)",0.715184927913099,"Enriched (BFP+)"
"BRCA1",9,237,5.73753595397891,1.5686176212558,0.117963004404982,"Position 1 (CRISPRa)",0.715184927913099,"Enriched (BFP+)"
"NBN",8,209,5.05968360498562,1.581126533706,0.131683189805385,"Position 1 (CRISPRa)",0.715184927913099,"Enriched (BFP+)"
"PRKDC",8,197,4.76917545541707,1.67743880987083,0.102660424362654,"Position 1 (CRISPRa)",0.715184927913099,"Enriched (BFP+)"
"MRE11",8,191,4.62392138063279,1.73013322274636,0.0896573341642178,"Position 2 (CasRx)",0.715184927913099,"Enriched (BFP+)"
"NBN",8,208,5.03547459252157,1.58872810357959,0.129114551679648,"Position 2 (CasRx)",0.715184927913099,"Enriched (BFP+)"
"NHEJ1",8,212,5.13231064237776,1.55875210162526,0.13954827861719,"Position 2 (CasRx)",0.715184927913099,"Enriched (BFP+)"
"TP53BP1",8,212,5.13231064237776,1.55875210162526,0.13954827861719,"Position 2 (CasRx)",0.715184927913099,"Enriched (BFP+)"
"PRKDC",8,219,5.30177372962608,1.50892897508929,0.15880448546309,"Position 2 (CasRx)",0.72344265599852,"Enriched (BFP+)"
"MRE11",7,199,4.81759348034516,1.45300761231902,0.205371932449336,"Position 1 (CRISPRa)",0.842024923042277,"Enriched (BFP+)"
"LIG3",7,212,5.13231064237776,1.3639080889221,0.25220431787572,"Position 1 (CRISPRa)",0.940034275718592,"Enriched (BFP+)"
"BRCA2",3,199,4.81759348034516,0.622717548136723,0.868665961953448,"Position 1 (CRISPRa)",0.994782438702254,"Enriched (BFP+)"
"EXO1",4,185,4.47866730584851,0.893122825796093,0.662842044560375,"Position 1 (CRISPRa)",0.994782438702254,"Enriched (BFP+)"
"LIG4",3,217,5.25335570469799,0.5710635579687,0.904065546346365,"Position 1 (CRISPRa)",0.994782438702254,"Enriched (BFP+)"
